Symbol,Date,Closing_Price,Highest_Price,Lowest_Price,Num_Transactions,Open_Price,Volume,Average_Price
MMM,2023-01-09,126.79,129.46,126.11,47039,127,2871264.0,127.6898
ABT,2023-01-09,112.15,113.67,112.02,65913,113.52,7277699.0,112.6799
ABBV,2023-01-09,161.66,166.28,160.88,88622,165.9,7832955.0,163.4626
ACN,2023-01-09,273.75,278.49,271.505,42101,271.92,2181538.0,274.8443
ATVI,2023-01-09,77.22,78.18,77.18,47609,77.5,8414609.0,77.4309
ADBE,2023-01-09,341.98,349.455,338.42,71727,338.9,3133817.0,343.9845
AMD,2023-01-09,67.24,69.32,65.67,384973,66.22,69741257.0,68.0088
AES,2023-01-09,27.25,27.31,26.282,37318,26.41,4583580.0,27.1312
AFL,2023-01-09,71.45,73.65,71.43,41173,73.5,3401441.0,72.0216
A,2023-01-09,147.47,151.28,147.198,29084,149.69,1269574.0,148.4043
APD,2023-01-09,311.67,314.47,306.03,27400,309.89,1436544.0,312.0179
AKAM,2023-01-09,86.88,87.62,86.365,22609,86.51,1566876.0,86.9959
ALK,2023-01-09,45.72,46.175,45.36,18310,45.5,1217622.0,45.8503
ALB,2023-01-09,224,230.44,224,28304,224.68,1467812.0,226.2473
ARE,2023-01-09,146.59,148.71,146.38,11810,147.69,600105,147.2547
ALGN,2023-01-09,227.67,230.35,222.08,27020,224.03,830680,227.4369
ALLE,2023-01-09,112.27,113.935,111.01,12123,112.38,632673,112.5861
LNT,2023-01-09,55.44,55.58,54.6,18624,54.93,1314631.0,55.2967
ALL,2023-01-09,140.01,142.0599,139.33,24354,141.73,1534219.0,140.4012
GOOGL,2023-01-09,88.02,90.05,87.86,296272,88.36,29003901.0,88.9553
GOOG,2023-01-09,88.8,90.83,88.58,209291,89.195,22996681.0,89.6818
MO,2023-01-09,45.98,46.6,45.93,48027,46.45,6881230.0,46.1658
AMZN,2023-01-09,87.36,89.48,87.08,590215,87.46,65266056.0,88.3985
AMCR,2023-01-09,12.2,12.37,12.19,32437,12.28,7064947.0,12.2689
AEE,2023-01-09,89.41,89.87,88.06,18391,88.06,1479203.0,89.3408
AAL,2023-01-09,14.61,14.79,14.23,105292,14.25,31496870.0,14.6413
AEP,2023-01-09,97.95,98.32,96.23,39548,96.41,2561359.0,97.8096
AXP,2023-01-09,150.4,152.445,150.1,41307,151.35,3219406.0,150.8815
